AnosSmells;ProjSmells;IndSmells;;
4;4;0;;
15;10;0;;
0;0;0;;
5;5;0;;
3;8;0;;
2;1;1;;
0;0;0;;
1;1;0;;
1;3;0;;
0;0;0;;
0;0;0;;
1;0;0;;
4;6;0;;
8;8;2;;
0;0;0;;
3;3;2;;
3;2;1;;
4;2;0;;
0;0;0;;
6;10;8;;
12;9;6;;
3;3;0;;
0;0;0;;
2;5;5;;
0;0;0;;
0;0;0;;
0;0;0;;
0;0;0;;
0;0;0;;
1;1;0;;
0;0;0;;
2;1;1;;
0;0;0;;
0;0;0;;
2;3;0;;
1;1;1;;
1;1;1;;
5;4;0;;
0;1;1;;
0;0;3;;
0;0;0;;
5;7;5;;
7;14;3;;
2;3;0;;
0;0;0;;
6;4;4;;
1;4;4;;
15;30;0;;
4;12;12;;
0;0;0;;
0;0;0;;
2;2;0;;
0;0;0;;
0;0;0;;
0;0;0;;
0;0;0;;
5;28;25;;
5;20;7;;
1;3;0;;
5;5;0;;
3;3;4;;
20;40;0;;
0;0;0;;
0;0;0;;
1;5;0;;
0;0;0;;
14;14;8;;
2;3;0;;
2;1;6;;
0;0;0;;
1;0;0;;
5;20;0;;
3;5;0;;
1;2;0;;
10;5;0;;
0;0;0;;
0;0;0;;
2;1;0;;
5;8;0;;
0;0;0;;
5;20;0;;
0;0;0;;
20;30;0;;
2;2;1;;
2;1;0;;
5;4;0;;
2;4;4;;
0;0;0;;
2;2;0;;
5;10;6;;
3;3;0;;
0;0;0;;
3;3;7;;
3;3;0;;
5;10;4;;
