AnosExp;NumProjTot;NumProjInd;;Anos OO/ SW;Percepçao;Analise;Refazendo percepção;;;AVALIAÇÃO BEM OU MAL? 1 = BOM 0 = MAL;;;;;REFAZENDO OS GRAFICOS
0;0;0;;A;2;A percepçao sendo 2 é errado. 0 projetos.;0;;;0;;;;;
4;4;0;;MA;3;Poucos anos, poucos projetos;1;;;0;;;;;
25;15;0;;A;2;Pode ser mais alta.;3;;;0;;;;;
10;5;0;;A;2;Justa;2;;;1;;;;;
4;3;2;;B;1;Justa;1;;;1;;;;;
4;5;2;;B;1;Justa;1;;;1;;;;;
4;4;2;;A;2;Pode ser mais baixa;1;;;0;;;;;
6;5;2;;A;2;Pode ser mais baixa;1;;;0;;;;;
6;7;0;;A;2;Justo;2;;;1;;;;;
1;1;1;;B;1;Pode ser mais baixa;0;;;0;;;;;
3;2;0;;A;2;Pode ser mais baixa;0;;;0;;;;;
7;10;0;;MA;3;Mais ou menos Justa. Muitos projetos mas...;2;;;1;;;;;
3;15;3;;A;2;Ideal;2;;;1;;;;;
8;3;3;;A;2;Ideal;1;;;1;;;;;
4;2;1;;MA;3;Bem mais baixa;1;;;0;;;;;
5;6;3;;MA;3;Bem mais baixa;1;;;0;;;;;
4;4;0;;A;2;Bem mais baixa;1;;;0;;;;;
6;10;8;;A;2;Justa;2;;;1;;;;;
12;9;6;;MA;3;Justa;3;;;1;;;;;
8;40;10;Outlier;A;2;Mais alta;3;;;0;;;;;
0;0;0;;MB;0;Justa;0;;;1;;;;;
5;15;10;Outlier;A;2;Mais alta;3;;;0;;;;;
3;7;5;;A;2;Justa;2;;;1;;;;;
1;0;0;;MB;0;justa;0;;;1;;;;;
3;4;1;;B;1;Justa;1;;;1;;;;;
3;6;0;;B;1;justa;1;;;1;;;;;
2;2;1;;B;1;Justa;1;;;1;;;;;
4;5;0;;A;2;Bem mais baixa;1;;;0;;;;;
4;6;0;;A;2;Bem mais baixa;1;;;0;;;;;
6;4;1;;A;2;mais baixa;1;;;0;;;;;
5;5;1;;MA;3;Bem mais baixa;1;;;0;;;;;
0;1;0;;MB;0;Justa;0;;;1;;;;;
7;10;10;;A;2;Mais alta;3;;;0;;;;;
1;1;1;;MB;0;Justa;0;;;1;;;;;
5;4;0;;A;2;Um pouco mais baixa;1;;;0;;;;;
5;7;7;;A;2;Justa;2;;;1;;;;;
4;2;0;;B;1;Justa;1;;;1;;;;;
5;7;5;;A;2;Justo;2;;;1;;;;;
2;4;0;;B;1;Justa;1;;;1;;;;;
0;0;0;;MB;0;Justa;0;;;1;;;;;
8;10;9;;A;2;Justa;2;;;1;;;;;
2;8;8;;A;2;Justa;2;;;1;;;;;
27;50;0;Outlier;MA;3;Justa;3;;;1;;;;;
15;15;15;Outlier;A;2;Mais alta;3;;;0;;;;;
5;5;0;;A;2;mais baixa;1;;;0;;;;;
2;1;0;;B;1;Justo;0;;;1;;;;;
6;30;25;Outlier;A;2;Pode ser mais alto!;3;;;0;;;;;
7;35;15;Outlier;MA;3;Justissimo;3;;;1;;;;;
8;8;0;;A;2;Justo!;2;;;1;;;;;
6;5;0;;MA;3;Pode ser mais baixo;2;;;0;;;;;
4;4;4;;MA;3;Bem mais baixa;1;;;0;;;;;
26;50;0;Outlier;MA;3;Justo!;3;;;1;;;;;
1;12;0;;MB;0;Mais alta.;1;;;0;;;;;
17;12;11;;A;2;Mais alta ;3;;;0;;;;;
9;20;0;;A;2;Mais Alta;3;;;0;;;;;
5;18;5;;MA;3;Mais alta;3;;;0;;;;;
7;14;8;;A;2;Mais alta;3;;;0;;;;;
15;50;25;Outlier;MA;3;Justo!;3;;;1;;;;;
1;2;0;;B;1;Mais baixo;0;;;0;;;;;
5;9;0;;B;1;Justo;1;;;1;;;;;
10;50;0;Outlier;MA;3;Mais alto pelos projetos;3;;;0;;;;;
5;6;0;;A;2;Mais baixo;1;;;0;;;;;
10;6;5;;A;2;Justo;2;;;1;;;;;
40;20;0;Outlier;A;2;bem mais alto;3;;;0;;;;;
0;0;0;;MB;0;Justo;0;;;1;;;;;
2;3;0;;A;2;Mais baixo;0;;;0;;;;;
10;8;0;;MA;3;Mais baixo;2;;;0;;;;;
8;20;0;;MA;3;Justo pelos Projetos;3;;;0;;;;;
10;15;14;Outlier;MA;3;Justo pelos Projetos;3;;;0;;;;;
4;10;0;;A;2;Justo pelos Projetos;2;;;1;;;;;
30;50;0;Outlier;MA;3;Justissimo;3;;;1;;;;;
7;4;2;;A;2;Um pouco mais baixo;1;;;0;;;;;
6;3;0;;B;1;Justo;1;;;1;;;;;
12;8;0;;MA;3;Mais baixo;2;;;0;;;;;
10;10;10;;A;2;Mais alto;3;;;0;;;;;
10;20;2;;A;2;Mais alto;3;;;0;;;;;
7;8;5;;A;2;Justo;2;;;1;;;;;
9;10;6;;A;2;Justo;2;;;1;;;;;
3;30;10;Outlier;A;2;Justissimo.;2;;;1;;;;;
3;4;0;;;;;;;;39;;;;;
5;7;1;;;;;;;;40;;;;;
8;14;5;;;;;;;;;;;;;
